Feedback,Area
"we need a way to log how much of the course material is used. the ""exercise completed"" widget does not provide enough insight to drive trainin",Product area 1
"Find a way to allow existing users to invite new users using their intercom account. right now, we have to send invites manually.",Product area 1
sing built-in dev.to articles to attract new users,Product area 1
embed snippets of code from the platform in help docs,Product area 1
Run a marketing campaign with regex to identify users who have not signed up in a long time,Product area 1
how do we improve the UI to see the right documents,Product area 4
I can't even get the endpoint working!,Product area 3
"Most things have versioning now. the documents API, the endpoint to pull data out of the DB, etc. it would be great to see these be versioned with a version number and then versioned by type",Product area 3
Overall platform and docs seem to be hard to use. There are many unnecessary actions and this creates an overwhelming user experience. A major part of the documentation could be done using interactive exercises and explorations in the platform.,Product area 4
I feel like the interaction with the endpoints is not smooth enough,Product area 3
"make the API key available in the first experience with the model, it's not obvious how to retrieve it from the documentation",Product area 4
"Is there a possibility to use a private key for authentication, if so, what is the format?",Product area 3
auto-generation of docs/support docs,Product area 1
remove any remnants of the old static types in the API endpoints.,Product area 3
there's no method for downloading and running a model locally,Product area 3
"The substr function has been replaced with length, but the function call has not been updated, causing all the old models to fail on the endpoint. This is a bug in the SDK. We should be able to configure the SDK",Product area 3
"add info for all the parameters, and the method of retrieving those values",Product area 3
"""find the best classifier"" feature  on the platform doesn't work",Product area 4
"Add an 'all endpoints' endpoint that returns all the endpoints in the API, so I can easily inspect them",Product area 3
add a warning for users who have not updated their api key since august 2019,Product area 3
Include/Export URL parameters from results to provide more information to users,Product area 3
"there's no way to delete a new endpoints that you created, unless you go back to the settings page",Product area 3
Support parallel training of the co.classify models,Product area 4
"There are no pagination parameters for documents in the endpoint, the first 50 documents are returned. The user needs to call the endpoint multiple times to get more documents",Product area 3
add a function to the endpoints to run on a specific model and get confidence on a single label,Product area 3
the benchmark tasks we run are not realistic for real life use cases. remove these and test with tasks relevant to our target users,Product area 2
"i like the new UI, although it is difficult to find what's new",Product area 4
How do we evaluate a test script that is split into two subtasks,Product area 2
"the endpoints don't offer us any information about how we did on this task, how do we know if we got it right",Product area 2
How do we perform on summarization,Product area 2
i don't see a way to visualize how i'm progressing in an evaluation job,Product area 2
"I'd like to see performance on Extraction of 3rd party content like tweets, news articles, etc.",Product area 2
What are the cost/benefit of increasing the training dataset size,Product area 2
Will splitting up multiple sentences with prepositions improve model performance,Product area 2
How do we assess and compare models on quality of content moderation tasks,Product area 2
How does the co.classify algorithm perform on key phrases with different numbers of words,Product area 2
How do we compare against enlive on summary generation tasks,Product area 2
Can we evaluate our model's ability to support image sentiment analysis,Product area 2
How do we perform on the core named entity recognition,Product area 2
How do we compare against other search engines in order to measure the effectiveness of the model,Product area 2
"The platform UI is really confusing for noobs, and requires a tutorial to teach them how to use it",Product area 4
share data with external data repositories like open api data dumps (we could partner with other companies to make this happen) ###,Product area 1
Please have a way to share models between users in a team,Product area 4
data loading UI: what if i want to load 10s of millions of documents and let the model load up? that's not going to work,Product area 4
"i'm not sure what i'm doing wrong, but everytime i upload a file the model re-evaluates itself",Product area 4
The quickstart demo notebook has no API keys or comments about how to get them,Product area 1
expose machine learning model training time as a hyperparameter,Product area 4
"there are some quirks that need to be addressed.
How do we handle a user having the same email address and username?",Product area 4
"I'm not sure what to use Cohere for, I don't see any use cases that pertain to me",Product area 1
Use intercom to get feedback on the latest changes in the platform,Product area 1
Integrate with other ML/NLP frameworks to offer more flexibility in terms of model training,Product area 1
we should also encourage sharing of workflows via a mechanism for example via github,Product area 1
Provide a way to request access to an Enterprise version of the product,Product area 1
"release a standalone version of the API with an offline interface, so that we can test and train models on our own",Product area 3
do you have any idea about using a webhook to trigger a user email in order to bring users back into the platform,Product area 1
create a restful api version of the SDK,Product area 3
API rate limit of 100 is just too low,Product area 3
2FA in the endpoints is a pain to setup,Product area 3
co.train_mode.train is an experimental flag. i think it should be used by default,Product area 3
The endpoints are not easy to use for building simple tasks,Product area 3
How does co.classify compare to the patent classification algorithm in Co (specifically in the section of the doc),Product area 2
how do we perform on Sentiment Analysis on massive sets of tweets and documents,Product area 2
"how do we compare against other labs, and what is the cost of doing so?",Product area 2
"In case of some topic models, the model isn't trained with much depth and it is really hard to tell if we can handle the data well",Product area 2
How do we feel about the performance of our models on image classification,Product area 2
Time to live (TTL) is too long. It seems to be related to the length of the generated code. Suggest TTL = 24h (or at least for a model),Product area 4
It would be nice to have a toggle in the platform to test if the local machine is able to support the system,Product area 4
Add in some test suites to verify that models are scoring correctly,Product area 2
"not able to save any changes on the generation screen, all the generation names are changing when saving",Product area 4
how do we evaluate the impact of the e-mail on the engagement of users in the platform,Product area 1
"Focus on the simplest interface possible, then build on top of it",Product area 1
Introduce blogs/publications for tutorials/explanations,Product area 1
Improve messaging within the platform to encourage users to try new things and see the value of our product,Product area 1
Do we have a customer email list,Product area 1
"When a new version is published for a model, send a slack notification",Product area 1
Integrate with the platform on our own platform to leverage our user base to build models,Product area 1
Find out if the initial experience was good or bad to determine whether users come back to the platform,Product area 1
Integrate model predictions to other marketing tools like marketing automation,Product area 1
Start showing better metrics of how the platform is doing in terms of retention,Product area 1
Keep a section of the home page for testimonials,Product area 1
add an alert feature so that we get an email whenever a new version of a model is created,Product area 1
What is the state of our text generation capabilities?,Product area 2
how do we feel about our ability to handle sentiment and text classification jobs today,Product area 2
The ability to get the performance across the whole dataset,Product area 2
What are the new languages and models we are working on?,Product area 2
i wish we could see results from the evaluate endpoint from our internal models in a nice table,Product area 2
"What are the major features that we are missing to allow us to compete with alphago, swift, etc.",Product area 2
a project management module for us to keep track of our current and upcoming tasks,Product area 2
How do we compare against other libraries on text classification tasks,Product area 2
I want to be able to see the documents and examples for the evaluation task. Maybe even a sample/benchmark model that we can compare against,Product area 2
How do we compare to Microsoft's CNTK on image captioning?,Product area 2
"How do we compare to the state-of-the-art on a) character based machine translation, b) language modeling for a language we don't support, c) similarity estimation, d) translation",Product area 2
"compare against openai's GPT-2, doc2vec and XLNet for long document summarization",Product area 2
"What is the current performance of our api vs other state-of-the-art text classification tools (NLTK, spaCy, etc)",Product area 2
Could we build a high quality summarizer from a large collection of papers?,Product area 2
better design for training new users to get familiar with the platform,Product area 4
improve error messaging on overfitting warning,Product area 3
Ability to login from console (from CLI),Product area 3
How can we make it easier to identify and reuse the trained model in the playground,Product area 4
Display some of the code for us to better understand the learning that happened during training.,Product area 4
model reset for every change of task in the platform is frustrating,Product area 4
"ability to delete a model, just like in the notebook",Product area 4
"my go code for some parts of the platform does not work, I do not understand why",Product area 3
"i wish the platform was able to send notifications via slack, or at least that it was possible to integrate with slack.",Product area 4
"when I export a model to the platform, I get a warning about a need to re-run finetuning. this is good. it would be better to have this happen automatically, eg when i go to the model page and then click '",Product area 4
Include some example of requests/responses to illustrate the API,Product area 3
please link to help docs and community docs from the platform,Product area 4
The drag and drop of the docs in the platform is not working well on the mobile phone,Product area 4
"Allow me to set and store my own environment variables, eg a pyhon env, from the platform so that I don't have to do it manually.",Product area 4
copy-paste code snippets from playground to notebook,Product area 4
"add a package manager for SDK (ie cocoapods, etc)",Product area 3
How can we integrate with the API-SDK easily for code devs,Product area 3
there's no code snippet in the co-classify python SDK that lets me run a model on the text in a variable,Product area 3
Documentation is really good,Product area 3
"for SDKs, how to we handle the situations where there are hundreds of millions of items that need to be ingested",Product area 3
it's very confusing to me that there is no python SDK for training models in co.classify,Product area 3
